Dist Code,Year,Dist Name,avg_preci
165,2000,Gurdaspur,107.0418181818182
165,2001,Gurdaspur,102.24818181818183
165,2002,Gurdaspur,95.28090909090908
165,2003,Gurdaspur,127.25818181818182
165,2004,Gurdaspur,94.91090909090912
165,2005,Gurdaspur,122.36727272727272
165,2006,Gurdaspur,190.65363636363637
165,2007,Gurdaspur,100.93454545454546
165,2008,Gurdaspur,137.08545454545452
165,2009,Gurdaspur,79.98363636363636
165,2010,Gurdaspur,122.98272727272727
165,2011,Gurdaspur,137.56999999999996
165,2012,Gurdaspur,119.85454545454544
165,2013,Gurdaspur,126.98181818181818
165,2014,Gurdaspur,149.0209090909091
165,2015,Gurdaspur,160.07818181818178
166,2000,Amritsar,47.69818181818182
166,2001,Amritsar,52.25545454545453
166,2002,Amritsar,39.93454545454546
166,2003,Amritsar,59.56818181818182
166,2004,Amritsar,45.0790909090909
166,2005,Amritsar,58.14909090909091
166,2006,Amritsar,82.57454545454546
166,2007,Amritsar,51.122727272727275
166,2008,Amritsar,70.86272727272727
166,2009,Amritsar,37.158181818181816
166,2010,Amritsar,52.01727272727273
166,2011,Amritsar,69.22272727272727
166,2012,Amritsar,54.27090909090908
166,2013,Amritsar,60.781818181818174
166,2014,Amritsar,65.10181818181817
166,2015,Amritsar,71.87181818181818
167,2000,Kapurthala,51.39000000000001
167,2001,Kapurthala,54.28181818181818
167,2002,Kapurthala,44.78090909090909
167,2003,Kapurthala,62.68272727272727
167,2004,Kapurthala,44.42181818181818
167,2005,Kapurthala,63.146363636363624
167,2006,Kapurthala,95.39454545454547
167,2007,Kapurthala,51.290909090909096
167,2008,Kapurthala,69.62272727272727
167,2009,Kapurthala,39.28090909090909
167,2010,Kapurthala,60.855454545454535
167,2011,Kapurthala,76.1581818181818
167,2012,Kapurthala,66.97454545454546
167,2013,Kapurthala,61.383636363636356
167,2014,Kapurthala,76.12636363636365
167,2015,Kapurthala,78.52727272727273
168,2000,Jalandhar,49.877272727272725
168,2001,Jalandhar,51.67545454545454
168,2002,Jalandhar,43.60545454545455
168,2003,Jalandhar,61.700909090909086
168,2004,Jalandhar,42.45818181818182
168,2005,Jalandhar,60.28999999999999
168,2006,Jalandhar,89.97818181818181
168,2007,Jalandhar,50.9390909090909
168,2008,Jalandhar,67.2990909090909
168,2009,Jalandhar,38.585454545454546
168,2010,Jalandhar,58.810909090909085
168,2011,Jalandhar,73.80363636363637
168,2012,Jalandhar,64.28454545454545
168,2013,Jalandhar,60.67090909090908
168,2014,Jalandhar,72.04727272727273
168,2015,Jalandhar,75.02181818181819
169,2000,Hoshiarpur,76.24818181818182
169,2001,Hoshiarpur,73.81363636363636
169,2002,Hoshiarpur,66.67181818181817
169,2003,Hoshiarpur,88.15272727272729
169,2004,Hoshiarpur,61.698181818181816
169,2005,Hoshiarpur,85.74000000000001
169,2006,Hoshiarpur,131.17
169,2007,Hoshiarpur,71.67545454545454
169,2008,Hoshiarpur,99.53454545454547
169,2009,Hoshiarpur,54.961818181818174
169,2010,Hoshiarpur,83.22818181818182
169,2011,Hoshiarpur,101.6690909090909
169,2012,Hoshiarpur,86.66363636363637
169,2013,Hoshiarpur,89.55181818181819
169,2014,Hoshiarpur,101.55181818181818
169,2015,Hoshiarpur,109.77181818181816
170,2000,Roopnagar,84.98272727272727
170,2001,Roopnagar,73.64
170,2002,Roopnagar,68.47181818181818
170,2003,Roopnagar,93.95545454545454
170,2004,Roopnagar,58.19272727272728
170,2005,Roopnagar,88.32636363636364
170,2006,Roopnagar,127.53090909090908
170,2007,Roopnagar,71.32181818181819
170,2008,Roopnagar,95.15181818181819
170,2009,Roopnagar,59.94545454545455
170,2010,Roopnagar,87.48454545454547
170,2011,Roopnagar,102.31636363636363
170,2012,Roopnagar,90.64818181818181
170,2013,Roopnagar,95.64909090909092
170,2014,Roopnagar,95.3536363636364
170,2015,Roopnagar,108.46909090909092
171,2000,Ludhiana,52.17454545454546
171,2001,Ludhiana,51.19727272727273
171,2002,Ludhiana,43.647272727272735
171,2003,Ludhiana,64.87363636363638
171,2004,Ludhiana,40.67545454545454
171,2005,Ludhiana,60.094545454545454
171,2006,Ludhiana,85.76818181818183
171,2007,Ludhiana,52.27363636363636
171,2008,Ludhiana,65.90272727272728
171,2009,Ludhiana,40.229090909090914
171,2010,Ludhiana,61.09090909090909
171,2011,Ludhiana,74.58727272727273
171,2012,Ludhiana,64.84909090909092
171,2013,Ludhiana,63.642727272727264
171,2014,Ludhiana,68.35818181818182
171,2015,Ludhiana,73.01636363636364
172,2000,Ferozpur,38.13909090909091
172,2001,Ferozpur,40.800000000000004
172,2002,Ferozpur,32.724545454545456
172,2003,Ferozpur,47.13454545454545
172,2004,Ferozpur,34.26090909090909
172,2005,Ferozpur,49.31090909090908
172,2006,Ferozpur,65.48545454545454
172,2007,Ferozpur,41.47363636363636
172,2008,Ferozpur,51.343636363636364
172,2009,Ferozpur,29.94181818181818
172,2010,Ferozpur,48.34909090909091
172,2011,Ferozpur,60.697272727272725
172,2012,Ferozpur,52.525454545454544
172,2013,Ferozpur,46.76272727272727
172,2014,Ferozpur,56.31636363636364
172,2015,Ferozpur,60.16909090909091
174,2000,Bhatinda,27.885454545454547
174,2001,Bhatinda,29.220909090909085
174,2002,Bhatinda,24.44
174,2003,Bhatinda,39.526363636363634
174,2004,Bhatinda,25.454545454545453
174,2005,Bhatinda,36.82363636363636
174,2006,Bhatinda,45.88999999999999
174,2007,Bhatinda,34.17181818181818
174,2008,Bhatinda,37.91090909090909
