Year,Dist Name,Rice_Yield,Wheat_Yield
2009,Sangrur,4714.26,4550.07
2010,Sangrur,4374.6,5081.6
2011,Sangrur,4343.63,5449.9
2012,Sangrur,4679.39,5113.85
2013,Sangrur,4699.34,5415.46
2014,Sangrur,4711.1,4744.51
2015,Sangrur,4798.71,4830.57
2000,Patiala,3512.85,4661.02
2001,Patiala,3693.65,4938.3
2002,Patiala,3544.01,4466.12
2003,Patiala,3969.8,4156.25
2004,Patiala,3964.72,4580.15
2005,Patiala,3998.96,4234.28
2006,Patiala,4085.65,4456.45
2007,Patiala,4295.96,4731.61
2008,Patiala,4204.16,4610.69
2009,Patiala,4268.32,4602.02
2010,Patiala,3818.37,4804.36
2011,Patiala,3930.11,5380.51
2012,Patiala,4054.97,4834.74
2013,Patiala,4109.07,4953.1
2014,Patiala,3987.45,4291.56
2015,Patiala,4053.89,4610.66
